Table 5
Accurate Coordinates and Proper Motions for the Standard Stars

Star Name	alpha (J2000.0)	delta (J2000.0)	UCAC4	2MASS-PSC	mu_alpha		mu_delta		
GD 38	03 02 30.970	+38 01 00.10	641-012175	J03023094+3800595	99.0	8.0	-39.0	8.0	
SA 23-195	03 43 51.964	+45 10 02.52	676-021990	J03435196+4510025	-2.0	1.3	-6.0	1.8	
SA 23-198	03 43 56.438	+45 09 41.46	676-021999	J03435643+4509414	-2.6	0.9	-1.9	0.4	
SA 23-15	03 44 05.128	+45 06 03.00	676-022021	J03440513+4506029	-5.2	0.9	-5.8	0.7	
SA 23-402	03 44 23.010	+45 23 37.73	677-021756	J03442300+4523377	-1.4	0.6	-1.1	0.6	
SA 23-241	03 44 36.960	+45 17 59.22	677-021797	J03443695+4517592	8.7	0.5	-0.8	1.0	
SA 23-45	03 44 42.135	+45 04 43.53	676-022112	J03444209+4504436	-4.6	1.5	1.5	0.9	
SA 23-246	03 44 43.903	+45 18 01.25	677-021818	J03444389+4518012	-0.7	1.4	-2.4	2.2	
SA 23-561	03 44 53.412	+45 30 25.87	678-022969	J03445340+4530258	-2.7	1.2	-2.1	0.8	
SA 23-418	03 44 56.347	+45 18 59.93	677-021848	J03445634+4518599	-28.2	1.2	-27.6	0.6	
SA 23-57	03 44 59.361	+45 03 47.90	676-022167	J03445933+4503479	-3.4	1.6	0.4	1.9	
SA 23-264	03 45 04.420	+45 17 48.41	677-021868	J03450441+4517485	-6.2	1.7	-33.3	0.9	
SA 23-433	03 45 27.133	+45 28 46.63	678-023058	J03452713+4528466	-6.7	3.2	-3.6	3.7	
SA 23-435	03 45 31.545	+45 27 19.89	678-023063	J03453154+4527199	-11.5	2.3	-1.6	3.0	
SA 23-436	03 45 33.388	+45 27 12.92	678-023069	J03453338+4527129	-10.7	5.5	2.7	5.9	
SA 23-438	03 45 35.825	+45 24 31.45	678-023079	J03453582+4524314	34.0	2.4	-34.8	2.9	
SA 23-439	03 45 38.594	+45 25 15.33	678-023084	J03453859+4525154	-3.9	4.0	0.0	4.0	
SA 23-440	03 45 39.288	+45 28 12.70	678-023088	J03453928+4528127	-16.6	0.9	-8.8	1.4	
SA 23-441	03 45 39.328	+45 25 37.28	678-023089	J03453931+4525373	18.5	6.4	-3.9	6.4	
SA 23-443	03 45 45.754	+45 25 33.98	678-023108	J03454575+4525340	8.3	0.7	-1.7	0.7	
SA 23-444	03 45 48.007	+45 27 17.36	678-023115	J03454800+4527174	0.6	4.0	-7.4	4.0	
SA 23-300	03 45 56.378	+45 14 43.91	677-021997	J03455639+4514438	-31.4	1.1	-1.2	0.8	
GD 61C	04 38 27.184	+41 10 07.68	656-023484	J04382718+4110077	-1.2	1.9	-3.4	3.5	
GD 61B	04 38 29.122	+41 11 00.48	656-023493	J04382911+4111005	0.0	2.4	2.1	2.3	
GD 61	04 38 39.369	+41 09 32.37	656-023527	J04383938+4109325	0.5	3.1	-106.6	3.4	
GD 61A	04 38 41.533	+41 10 51.24	656-023535	J04384153+4110512	2.2	1.8	8.1	2.4	
GD 64D	04 57 08.313	+41 55 12.86	660-028861	J04570831+4155129	2.7	3.0	-6.5	1.2	
GD 64B	04 57 18.332	+41 55 28.12	660-028892	J04571833+4155281	-4.1	1.6	-2.0	3.4	
GD 64C	04 57 21.370	+41 54 23.70	660-028906	J04572137+4154236	-5.6	3.1	-1.9	3.9	
GD 64	04 57 22.540	+41 55 56.45	660-028908	J04572254+4155567	13.2	3.4	-212.3	2.3	
GD 64A	04 57 25.311	+41 55 30.57	660-028922	J04572531+4155305	1.6	4.8	-3.9	2.4	
GD 64E	04 57 26.257	+41 55 52.18	660-028928	J04572625+4155521	0.6	1.1	-2.4	0.9	
GD 64F	04 57 28.704	+41 55 50.45	660-028940	J04572868+4155505	-0.3	2.9	-3.3	2.0	
SA 26-219	06 42 23.097	+44 47 54.40	674-046916	J06422308+4447544	-3.3	0.6	5.3	0.7	
SA 26-27	06 42 39.409	+44 31 47.34	673-048633	J06423940+4431474	-2.3	0.8	-5.6	0.8	
SA 26-231	06 42 51.320	+44 51 18.46	675-047782	J06425131+4451184	-8.5	0.8	-4.8	1.1	
SA 26-135	06 42 58.715	+44 38 52.53	674-046954	J06425871+4438525	-2.8	0.6	-2.9	0.8	
SA 26-234	06 43 07.334	+44 50 32.75	675-047797	J06430733+4450326	3.8	1.0	-16.9	0.7	
SA 26-139	06 43 09.275	+44 40 03.79	674-046964	J06430927+4440038	-14.2	1.6	-0.6	0.9	
SA 26-150	06 43 37.042	+44 43 20.73	674-046994	J06433704+4443208	0.9	1.0	-4.9	0.6	
SA 26-58	06 43 38.231	+44 25 11.15	673-048696	J06433822+4425111	55.5	0.7	-55.9	0.6	
SA 26-60	06 43 41.731	+44 30 45.40	673-048701	J06434172+4430454	1.7	0.7	-4.3	0.6	
SA 26-262	06 44 05.750	+44 47 22.64	674-047021	J06440575+4447226	3.5	1.7	-22.5	1.9	
SA 26-264	06 44 14.139	+44 46 42.13	674-047037	J06441414+4446421	-21.7	3.9	-4.8	3.7	
SA 26-265	06 44 14.929	+44 47 41.53	674-047038	J06441493+4447416	38.1	2.9	-58.7	5.7	
SA 26-268	06 44 19.474	+44 47 35.10	674-047043	J06441948+4447351	0.0	2.9	-11.7	3.2	
SA 26-269	06 44 21.694	+44 47 43.74	674-047047	J06442170+4447438	-2.1	4.0	-5.6	4.0	
SA 26-272	06 44 24.818	+44 46 17.78	674-047049	J06442481+4446179	4.3	3.6	-30.6	3.5	
SA 26-273	06 44 25.825	+44 48 21.60	675-047912	J06442582+4448216	-11.9	4.2	8.1	2.2	
SA 26-172	06 44 31.718	+44 34 05.88	673-048751	J06443171+4434059	-1.2	0.7	-20.4	1.1	
SA 26-278	06 44 32.844	+44 47 18.28	674-047059	J06443284+4447184	-8.6	3.7	-0.1	3.8	
SA 26-279	06 44 38.232	+44 46 44.95	674-047066	J06443823+4446450	1.2	3.5	-3.1	2.7	
SA 26-280	06 44 39.784	+44 48 25.64	675-047930	J06443977+4448257	1.4	1.5	-9.0	1.1	
SA 26-93	06 45 13.215	+44 30 56.56	673-048804	J06451322+4430562	-4.5	1.5	-0.8	1.5	
SA 26-95	06 45 16.159	+44 32 04.67	673-048807	J06451616+4432045	-5.3	1.3	0.6	1.0	
SA 26-96	06 45 17.185	+44 27 43.18	673-048808	J06451718+4427431	-13.0	12.9	1.3	2.9	
GD 91	08 30 09.451	+45 20 30.39	677-049880	J08300946+4520303	-95.2	4.1	-103.3	4.6	
GD 91B	08 30 10.294	+45 19 10.14	677-049881	J08301031+4519099	-21.4	2.2	-12.2	2.5	
GD 91A	08 30 16.361	+45 19 50.28	677-049885	J08301637+4519501	-1.0	1.7	-3.6	2.0	
PG0837+401B	08 40 58.400	+39 56 27.82	650-048270	J08405839+3956278	5.0	1.7	-8.1	2.0	
PG0837+401C	08 41 00.157	+39 55 54.49	650-048271	J08410015+3955545	3.2	1.3	-14.5	0.9	
PG0837+401	08 41 01.307	+39 56 18.13	650-048272	J08410129+3956181	9.0	4.7	-2.1	4.4	
PG0837+401A	08 41 04.495	+39 57 05.65	650-048273	J08410449+3957056	-20.0	2.8	-25.7	3.1	
KUV 345-30A	08 43 09.810	+39 46 15.09	649-046824	J08430981+3946151	8.3	2.9	-11.0	3.2	
KUV 345-30	08 43 12.709	+39 44 49.73	649-046825	J08431271+3944498	-3.5	1.9	-10.7	2.2	
PG0846+558B	08 49 41.020	+55 36 08.52	729-046561	J08494100+5536085	-14.0	3.4	-14.5	2.7	
PG0846+558A	08 49 42.276	+55 34 45.17	728-047552	J08494226+5534452	-16.5	2.7	-30.7	3.0	
PG0846+558	08 49 51.084	+55 35 14.94	 ... 	 ... 	12.0	1.0	-16.0	5.0	
GD 98B	08 57 09.788	+40 18 35.13	652-048948	J08570978+4018351	13.0	2.2	-11.1	2.6	
GD 98A	08 57 17.818	+40 17 53.92	652-048951	J08571781+4017539	-2.3	2.1	-7.9	2.5	
GD 98	08 57 30.443	+40 16 12.62	652-048956	J08573043+4016130	23.0	8.0	-198.0	8.0	
GD 299	09 38 20.351	+55 05 50.08	726-046051	J09382033+5505500	2.0	0.8	-69.7	0.9	
SA 29-153	09 41 34.127	+44 12 25.37	672-053393	J09413413+4412253	-19.4	0.5	-27.9	0.7	
SA 29-157	09 42 01.262	+44 11 46.38	671-054330	J09420127+4411464	1.2	0.9	-15.6	0.9	
SA 29-350	09 42 08.386	+44 32 57.10	673-055236	J09420840+4432570	-37.5	0.6	-9.4	0.8	
SA 29-22	09 42 49.281	+43 49 35.75	670-055010	J09424930+4349356	-9.8	3.2	-18.0	1.7	
SA 29-24	09 42 58.482	+43 50 04.87	670-055012	J09425847+4350050	-1.5	0.7	-40.1	0.5	
SA 29-303	09 44 53.037	+44 25 07.54	673-055285	J09445303+4425076	7.5	0.7	-8.3	0.6	
SA 29-322	09 46 31.722	+44 22 32.87	672-053468	J09463173+4422328	-33.0	0.6	-45.4	0.7	
SA 29-324	09 46 53.607	+44 25 05.72	673-055325	J09465360+4425057	-2.8	0.9	-2.6	1.4	
PG0943+521A	09 47 03.487	+51 55 09.32	710-050402	J09470348+5155093	-77.5	2.4	-52.5	2.6	
SA 29-327	09 47 04.537	+44 22 31.17	672-053478	J09470453+4422312	-25.1	0.5	-21.3	0.9	
SA 29-399	09 47 05.253	+44 41 02.64	674-053607	J09470524+4441025	-11.0	1.8	-5.6	2.3	
SA 29-400	09 47 08.212	+44 40 07.66	674-053609	J09470820+4440075	-4.7	3.0	-13.7	3.7	
PG0943+521	09 47 11.942	+51 54 08.91	710-050406	J09471193+5154089	32.6	1.6	-5.9	1.7	
SA 29-402	09 47 16.900	+44 38 20.30	674-053612	J09471689+4438201	2.8	2.9	-12.2	3.6	
SA 29-404	09 47 19.809	+44 40 26.74	674-053613	J09471979+4440266	-7.5	2.0	-23.8	2.4	
SA 29-331	09 47 19.945	+44 24 28.55	673-055339	J09471994+4424286	-4.7	0.8	0.3	0.6	
SA 29-405	09 47 20.158	+44 41 08.31	674-053614	J09472015+4441082	-0.4	2.7	-31.6	3.4	
SA 29-251	09 47 21.715	+44 14 13.96	672-053484	J09472171+4414139	-35.7	0.6	-16.4	0.7	
SA 29-406	09 47 24.345	+44 39 43.93	674-053616	J09472433+4439438	-16.2	2.9	-10.4	3.7	
SA 29-407	09 47 24.351	+44 37 56.67	674-053617	J09472434+4437565	0.3	2.9	-4.2	3.7	
SA 29-408	09 47 25.926	+44 41 34.07	674-053618	J09472591+4441340	3.3	1.8	-2.8	2.2	
SA 29-409	09 47 30.510	+44 40 00.42	674-053620	J09473049+4440003	-0.2	2.1	-4.0	2.4	
GD 300B	09 55 01.207	+51 39 58.80	709-049230	J09550120+5139587	-5.6	2.2	2.7	1.4	
GD 300	09 55 19.466	+51 36 59.03	709-049232	J09551945+5136590	-76.9	0.7	-95.7	0.6	
GD 300A	09 55 34.484	+51 36 41.97	709-049234	J09553447+5136419	-15.1	1.0	-8.2	1.2	
KUV 348-07	09 56 52.394	+41 15 22.10	657-052453	J09565240+4115221	-20.1	12.4	24.3	9.9	
KUV 348-07A	09 56 57.179	+41 16 49.89	657-052454	J09565719+4116499	-14.2	2.5	10.8	3.0	
KUV 348-07B	09 56 58.396	+41 13 03.63	657-052455	J09565839+4113037	13.7	4.2	-7.3	4.6	
KUV 348-13B	10 03 53.506	+40 32 01.93	653-052684	J10035351+4032020	-25.2	3.1	-14.7	3.6	
KUV 348-13	10 03 54.276	+40 34 18.10	653-052686	J10035428+4034182	-1.7	1.9	-15.9	1.6	
KUV 348-13A	10 04 06.316	+40 35 25.49	653-052693	J10040632+4035254	-3.1	1.7	3.9	2.3	
KUV 348-14A	10 05 06.918	+38 47 14.14	644-047205	J10050693+3847143	-3.1	2.3	-4.8	2.9	
KUV 348-14	10 05 09.884	+38 46 15.14	644-047206	J10050988+3846151	-5.2	2.2	-5.4	2.9	
KUV 348-14B	10 05 17.296	+38 47 35.05	644-047208	J10051730+3847352	-14.7	2.9	-19.0	3.3	
KUV 348-14C	10 05 18.521	+38 48 11.44	645-048159	J10051852+3848115	-1.5	4.3	-13.3	4.5	
GD 111A	10 05 45.210	+42 46 49.44	664-055399	J10054520+4246494	-20.4	2.5	7.9	2.8	
GD 111	10 05 48.965	+42 48 03.14	665-055803	J10054904+4248036	-142.0	3.0	-56.0	3.0	
GD 111B	10 06 02.757	+42 45 43.10	664-055402	J10060274+4245430	34.0	1.8	-1.9	2.3	
GD 310	11 29 10.923	+38 08 51.64	641-047816/4	J11291092+3808515	-98.1	6.6	-6.8	2.8	
PG1126+469B	11 29 14.264	+46 34 22.59	683-054611	J11291427+4634226	-25.0	0.9	-52.9	0.6	
GD 310C	11 29 25.990	+38 06 12.01	641-047820	J11292598+3806120	18.7	2.3	-5.5	6.5	
PG1126+469	11 29 28.671	+46 35 31.75	683-054614	J11292866+4635317	-11.0	1.4	2.7	1.9	
GD 310A	11 29 29.898	+38 09 14,09	641-047822	J11292989+3809141	-9.8	1.8	-14.5	2.0	
GD 310B	11 29 35.454	+38 08 12.60	641-047825	J11293545+3808126	-5.3	2.7	-6.7	2.9	
PG1126+469A	11 29 36.579	+46 35 44.99	683-054617	J11293657+4635448	5.6	0.9	-19.3	1.2	
KUV 352-09	11 36 24.386	+39 29 33.88	648-050654	J11362438+3929338	-3.1	0.6	-6.2	0.9	
SA 103-518	11 56 30.866	-00 32 37.58	448-053720	J11563087-0032375	-39.0	1.8	-40.3	1.4	
SA 103-626	11 56 46.156	-00 23 14.70	449-052212	J11564615-0023146	18.1	1.2	-10.2	1.7	
SA 103-528	11 57 00.826	-00 26 01.45	448-053734	J11570082-0026014	-11.9	1.0	-13.9	1.0	
SA 103-529	11 57 01.882	-00 26 58.96	448-053735	J11570188-0026589	6.7	1.4	-4.0	1.7	
SA 103-646	11 57 20.329	-00 21 00.92	449-052235	J11572032-0021010	-1.7	1.4	0.3	1.6	
GD 314E	12 03 47.219	+60 32 08.59	753-048653	J12034723+6032087	-1.6	3.4	4.9	3.9	
GD 314C	12 04 01.598	+60 37 48.53	754-046742	J12040160+6037486	2.4	1.8	0.3	2.4	
GD 314D	12 04 02.198	+60 34 57.98	753-048655	J12040220+6034580	-10.7	3.4	5.2	4.0	
GD 314	12 04 38.536	+60 32 08.08	753-048661	J12043856+6032082	-53.6	1.5	-28.3	2.1	
GD 314A	12 05 04.878	+60 35 11.92	753-048666	J12050489+6035119	-9.3	1.0	-13.9	0.5	
GD 314B	12 05 18.007	+60 36 47.89	754-046757	J12051802+6036479	-35.7	0.6	6.8	0.6	
PG1210+533B	12 13 18.722	+53 02 53.73	716-051192	J12131872+5302538	-22.9	0.7	-8.1	1.7	
PG1210+533A	12 13 24.431	+53 02 27.15	716-051194	J12132443+5302272	-7.1	3.8	2.8	4.0	
PG1210+533	12 13 24.643	+53 03 57.27	716-051195	J12132464+5303573	7.9	2.0	-41.5	2.5	
SA 32-270	12 55 07.557	+44 23 14.09	672-055958	J12550753+4423141	-12.5	1.7	6.0	1.8	
SA 32-271	12 55 08.586	+44 23 13.45	672-055959	J12550857+4423134	-97.9	0.6	1.9	0.6	
SA 32-272	12 55 10.338	+44 17 28.83	672-055960	J12551032+4417289	64.4	0.6	-70.9	0.7	
SA 32-330	12 55 26.396	+44 33 35.57	673-057919	J12552638+4433353	-38.0	0.5	1.2	0.7	
SA 32-377	12 55 45.397	+44 40 38.60	674-056036	J12554539+4440386	-19.1	0.6	6.7	0.9	
SA 32-379	12 55 50.119	+44 42 22.67	674-056039	J12555011+4442226	-0.6	0.9	-2.0	0.9	
SA 32-282	12 56 02.614	+44 26 49.25	673-057927	J12560261+4426493	-12.6	0.6	-22.4	0.6	
SA 32-212	12 56 03.313	+44 15 28.14	672-055973	J12560329+4415280	-3.3	0.6	-9.8	0.7	
SA 32-166	12 56 08.942	+44 00 55.03	671-056966	J12560892+4400547	-8.6	4.2	2.1	4.6	
SA 32-167	12 56 11.417	+44 00 32.42	671-056967	J12561139+4400323	-9.8	1.9	0.8	2.6	
SA 32-105	12 56 29.185	+43 54 07.17	670-057695	J12562918+4354071	-16.3	1.9	10.7	2.6	
SA 32-106	12 56 32.000	+43 56 45.10	670-057697	J12563200+4356450	-45.4	1.9	-1.3	2.6	
SA 32-107	12 56 34.300	+43 54 33.99	670-057698	J12563429+4354339	7.0	2.4	-5.0	3.1	
SA 32-220	12 56 34.353	+44 15 02.31	672-055984	J12563434+4415024	0.4	1.8	15.2	2.5	
SA 32-172	12 56 35.217	+44 02 25.52	671-056976	J12563522+4402254	-20.5	3.9	11.2	4.0	
SA 32-221	12 56 36.794	+44 14 59.60	672-055985	J12563679+4414597	-47.6	1.5	-16.2	0.7	
SA 32-109	12 56 40.337	+43 56 33.74	670-057699	J12564033+4356336	-15.4	0.9	23.2	0.6	
SA 32-174	12 56 55.284	+44 05 00.64	671-056978	J12565530+4405006	-86.4	1.3	-31.9	1.6	
SA 32-175	12 57 00.485	+44 05 02.78	671-056981	J12570049+4405029	25.6	1.8	-83.5	2.1	
GD 153	12 57 02.325	+22 01 52.66	561-053035	J12570233+2201526	-28.0	1.0	-194.0	5.0	
SA 32-176	12 57 03.215	+44 00 33.80	671-056983	J12570321+4400338	3.0	0.5	11.4	0.6	
SA 32-177	12 57 17.140	+44 01 00.49	671-056988	J12571716+4401004	-39.2	0.5	2.1	0.6	
SA 32-178	12 57 25.633	+44 02 02.82	671-056989	J12572563+4402028	59.4	0.8	-39.0	0.7	
SA 32-113	12 57 25.835	+43 56 32.95	670-057703	J12572585+4356330	-69.3	0.7	52.4	0.6	
SA 32-62	12 58 30.288	+43 43 19.21	669-056966	J12583028+4343192	-13.3	1.0	-15.0	1.3	
SA 32-64	12 58 36.649	+43 43 35.26	669-056967	J12583664+4343352	-41.5	0.8	16.4	0.9	
PG1314+442A	13 16 31.974	+43 58 14.74	670-057946	J13163196+4358147	-13.7	3.4	-18.1	4.0	
PG1314+442	13 16 33.109	+43 59 05.46	670-057947	J13163310+4359054	-7.5	3.2	-2.5	3.7	
GD 325	13 36 01.794	+48 28 46.15	693-053980	J13360209+4828472	-114.0	23.0	-38.0	6.0	
GD 325A	13 36 08.189	+48 28 57.62	693-053983	J13360817+4828577	-3.2	2.7	-4.4	3.0	
GD 325B	13 36 27.776	+48 29 30.70	693-053988	J13362777+4829307	20.8	1.2	-17.0	1.2	
GD 325C	13 36 31.813	+48 30 17.74	693-053989	J13363181+4830177	-14.0	1.6	-6.6	2.2	
PG1343+578	13 45 01.414	+57 30 12.84	738-053330	J13450142+5730128	-0.9	1.3	-8.0	1.4	
PG1343+578A	13 45 04.743	+57 32 11.27	738-053331	J13450474+5732112	-4.6	1.4	0.1	1.7	
GD 336B	14 31 46.324	+37 07 46.67	636-050218	J14314632+3707467	13.4	1.2	11.2	1.6	
GD 336A	14 31 50.878	+37 05 17.40	636-050220	J14315088+3705175	-0.8	1.3	6.2	1.7	
GD 336	14 31 56.628	+37 06 30.07	636-050221	J14315666+3706299	-105.3	2.6	24.4	2.8	
GD 336C	14 32 03.469	+37 04 19.95	636-050222	J14320347+3704199	-0.2	1.5	-0.7	1.8	
PG1430+427C	14 32 20.592	+42 30 24.07	663-059774	J14322059+4230240	-32.1	0.8	32.7	0.8	
PG1430+427	14 32 33.889	+42 30 19.07	663-059778	J14323389+4230192	-3.1	2.1	-15.7	2.5	
PG1430+427A	14 32 39.438	+42 30 40.02	663-059780	J14323944+4230401	-11.6	0.7	1.4	2.5	
PG1430+427B	14 32 46.756	+42 32 19.21	663-059784	J14324676+4232193	-16.6	1.0	13.3	0.9	
SA 107-970	15 37 25.829	+00 18 33.85	452-057069	J15372582+0018339	-2.2	1.4	-1.9	2.5	
SA 107-991	15 38 06.902	+00 16 19.31	452-057104	J15380690+0016193	-11.2	2.5	-5.7	2.3	
SA 107-847	15 38 19.398	+00 08 04.90	451-059190	J15381938+0008049	-13.3	1.2	-6.0	0.6	
